id,severity,likelihood,risk,evidence,impact,mitigation,owner,verification,release_gate
R-001,High,Likely,Oversized existing UI/controller hotspot,TranscriptionTab couples workflow concerns,Changes can regress established desktop workflows,Keep Agent Workspace in a reversible module,AURA maintainer,focused UI regression,agent tab regression green
R-002,High,Possible,ASR queue backpressure,live queue behavior requires bounded evidence,Unbounded work can increase latency or memory use,retain durable audio and validate queue bounds,ASR owner,load test,measured bound
R-003,High,Possible,Lock enforcement,uv.lock exists; installer discipline varies,Hosts can resolve a divergent runtime,use uv sync --frozen,release owner,clean install,locked install green
R-004,High,Possible,Mutable model identity,provider model tags may move,A later run can use materially different model behavior,record observed IDs and discovery time,agent owner,provider metadata,identity evidence captured
R-005,High,Possible,PII and provenance,meeting evidence can contain identifiers,Excess transfer can expose sensitive or weakly sourced content,minimal transfer preview and redaction,privacy owner,PII boundary tests,preview confirmed
R-006,Critical,Possible,Prompt injection,repository and evidence are untrusted,Untrusted content can attempt to redirect execution,controller-owned policy and static renderers,security owner,injection tests,trust controls green
R-007,Critical,Unlikely,Credential boundary,Codex manages ChatGPT credentials,Credential disclosure can compromise the provider account,never read or persist auth tokens,security owner,secret scan,zero credential findings
R-008,High,Possible,App-server protocol drift,installed schema is version-sensitive,Live startup or event mapping can fail after CLI updates,adapter isolation and fake-server contract,agent owner,schema integration test,observed schema supported
R-009,High,Possible,Child process lifecycle,desktop exits can strand children,Orphan processes can retain resources or stale state,graceful terminate then bounded kill,agent owner,shutdown test,no orphan process
R-010,Medium,Possible,Audit tamper resistance,local append-only logs are host-admin mutable,Local records cannot prove integrity against a privileged host user,hashes and local stewardship,operations owner,integrity verification,integrity chain valid
R-011,Medium,Possible,OS portability,native tools differ by OS,Unverified hosts can fail at launch or native integration,target-platform validation matrix,release owner,multi-OS CI,declared OS checks green
R-012,Medium,Possible,Coverage depth,GUI failure paths require continued expansion,Rare UI and process failures can escape P0 tests,focused unit and offscreen UI tests,QA owner,suite and coverage review,P0 cases green
R-013,High,Possible,Native dependency reproducibility,drivers and audio services live outside Python,A locked Python install can still differ operationally,operational BOM and diagnostics,operations owner,host validation,host bill captured
R-014,Medium,Possible,Worktree lifecycle,isolated worktrees consume disk,Abandoned worktrees can consume disk and confuse operators,explicit cleanup and collision checks,operator,worktree inventory,selected cleanup complete
R-015,High,Possible,Report false certainty,static analysis has evidence limits,Decision-makers can over-rely on unverified architecture claims,claim confidence and missing-evidence register,architecture owner,package validation,no unlabeled claims
R-016,Critical,Possible,Future multi-user isolation,local account is single-user,A hosted deployment without tenancy controls can cross user boundaries,separate hosted identity and tenancy work package,product owner,threat model,multi-user gate approved
