id,severity,likelihood,confidence,risk,evidence,impact,mitigation,owner,verification,release_gate,residual_risk
R-001,High,Likely,Confirmed,Oversized existing UI/controller hotspot,TranscriptionTab couples workflow concerns,Changes can regress established desktop workflows,Keep Agent Workspace in a reversible module,AURA maintainer,focused UI regression,agent tab regression green,Platform and field-operation validation remains active.
R-002,High,Possible,Confirmed,ASR queue backpressure,live queue behavior requires bounded evidence,Unbounded work can increase latency or memory use,retain durable audio and validate queue bounds,ASR owner,load test,measured bound,Platform and field-operation validation remains active.
R-003,High,Possible,Confirmed,Lock enforcement,uv.lock exists; installer discipline varies,Hosts can resolve a divergent runtime,use uv sync --frozen,release owner,clean install,locked install green,Platform and field-operation validation remains active.
R-004,High,Possible,Confirmed,Mutable model identity,provider model tags may move,A later run can use materially different model behavior,record observed IDs and discovery time,agent owner,provider metadata,identity evidence captured,Platform and field-operation validation remains active.
R-005,High,Possible,Confirmed,PII and provenance,meeting evidence can contain identifiers,Excess transfer can expose sensitive or weakly sourced content,minimal transfer preview and redaction,privacy owner,PII boundary tests,preview confirmed,Platform and field-operation validation remains active.
R-006,Critical,Possible,Confirmed,Prompt injection,repository and evidence are untrusted,Untrusted content can attempt to redirect execution,controller-owned policy and static renderers,security owner,injection tests,trust controls green,Platform and field-operation validation remains active.
R-007,Critical,Unlikely,Confirmed,Credential boundary,Codex manages ChatGPT credentials,Credential disclosure can compromise the provider account,never read or persist auth tokens,security owner,secret scan,zero credential findings,Platform and field-operation validation remains active.
R-008,High,Possible,Confirmed,App-server protocol drift,installed schema is version-sensitive,Live startup or event mapping can fail after CLI updates,adapter isolation and fake-server contract,agent owner,schema integration test,observed schema supported,Platform and field-operation validation remains active.
R-009,High,Possible,Confirmed,Child process lifecycle,desktop exits can strand children,Orphan processes can retain resources or stale state,graceful terminate then bounded kill,agent owner,shutdown test,no orphan process,Platform and field-operation validation remains active.
R-010,Medium,Possible,Confirmed,Audit tamper resistance,local append-only logs are host-admin mutable,Local records cannot prove integrity against a privileged host user,hashes and local stewardship,operations owner,integrity verification,integrity chain valid,Platform and field-operation validation remains active.
R-011,Medium,Possible,Confirmed,OS portability,native tools differ by OS,Unverified hosts can fail at launch or native integration,target-platform validation matrix,release owner,multi-OS CI,declared OS checks green,Platform and field-operation validation remains active.
R-012,Medium,Possible,Confirmed,Coverage depth,GUI failure paths require continued expansion,Rare UI and process failures can escape P0 tests,focused unit and offscreen UI tests,QA owner,suite and coverage review,P0 cases green,Platform and field-operation validation remains active.
R-013,High,Possible,Confirmed,Native dependency reproducibility,drivers and audio services live outside Python,A locked Python install can still differ operationally,operational BOM and diagnostics,operations owner,host validation,host bill captured,Platform and field-operation validation remains active.
R-014,Medium,Possible,Confirmed,Worktree lifecycle,isolated worktrees consume disk,Abandoned worktrees can consume disk and confuse operators,explicit cleanup and collision checks,operator,worktree inventory,selected cleanup complete,Platform and field-operation validation remains active.
R-015,High,Possible,Confirmed,Report false certainty,static analysis has evidence limits,Decision-makers can over-rely on unverified architecture claims,claim confidence and missing-evidence register,architecture owner,package validation,no unlabeled claims,Platform and field-operation validation remains active.
R-016,Critical,Possible,Confirmed,Future multi-user isolation,local account is single-user,A hosted deployment without tenancy controls can cross user boundaries,separate hosted identity and tenancy work package,product owner,threat model,multi-user gate approved,Platform and field-operation validation remains active.
R-017,Critical,Possible,Confirmed,Automation policy overbreadth,AUTO grants combine workflow and repository capabilities,A broad grant could authorize an unintended consequential action,"Bind grants to repository, commit, workflow, capability, expiry, and deny precedence",security owner,grant scope and stale reuse tests,all grant tests green,Low within declared single-operator scope
R-018,Critical,Possible,Confirmed,Publication credentials,Push and PR use external Git and GitHub credential owners,Credential or remote misuse could publish unintended content,"Sanitize allowlisted remotes, protect branches, scan changed files, and keep tokens external",release owner,temporary-remote and secret-canary tests,publication suite green,Medium; external credential stewardship remains
R-019,High,Likely,Confirmed,Indefinite retention and storage pressure,Release 1 retains runs until manual cleanup,Local storage growth can impair operation,Display totals and warnings; require preview before user-triggered cleanup,operations owner,storage warning and cleanup preview tests,storage exercise green,Medium; operator action is required
R-020,High,Possible,Confirmed,Queue or catalog corruption,SQLite catalog is durable scheduling state,Corruption can hide or misorder queued and recovery work,"WAL, migration backup, integrity check, and rebuild/recovery records",agent owner,migration and corruption recovery tests,recovery suite green,Low after validated recovery
R-021,High,Possible,Confirmed,Evidence staleness,Transcript and summary revisions can change after task creation,Engineering work can use superseded evidence,"Bind IDs, revisions, hashes, spans, and recheck before run, commit, and publish",evidence owner,freshness transition tests,freshness tests green,Low for bound artifacts
R-022,High,Possible,Confirmed,Recording resource interference,"Agent work shares CPU, memory, and disk with recording and live ASR",Heavy work can degrade capture quality,"Recording-first scheduler, live resource snapshot, queue hold, and interruption",audio owner,recording gate and transition tests,recording checks green,Medium across unmeasured hardware
R-023,High,Possible,Confirmed,Native UI refactor regression,The Agent tab composition changed materially,Established desktop workflows or accessibility can regress,Keep the MainWindow seam small and run offscreen plus full regressions,UI owner,UI and complete regression suite,release suite green,Low on the declared Ubuntu host
R-024,High,Likely,Confirmed,Latest Codex compatibility drift,App-server is explicitly a development interface,"A new CLI can change methods, events, or schema","Tested version range, schema digest, capability probe, and fail-closed Live mode",provider owner,compatibility and fake-server tests plus live minimum,known version and live gate green,Medium; each new version requires capture
R-025,Critical,Possible,Confirmed,"Package, network, or container supply chain","Python, native tools, external CLI, remotes, and optional containers cross supply boundaries",Compromise can affect host or published output,"Frozen lock, BOMs, vulnerability evidence, network deny, privileged-container deny, and external credentials",security owner,"dependency, network, and container policy tests",security suite and scan reviewed,Medium; native and hosted artifacts remain external
R-026,Critical,Likely,Confirmed,Future team identity gap,Release 1 is intentionally single-operator,Shared or hosted use without tenancy can cross user boundaries,"Activate IdP, tenant isolation, RBAC, revocation, encryption, and a new threat model before team hosting",product owner,future multi-user architecture review,team-hosting gate approved,High until the separate work package completes
R-027,High,Possible,Confirmed,AI transfer-review comprehension drift,"Decision copy, policy metadata, and Repository authority can become mixed as the UI evolves",An operator can misunderstand the initial payload or infer broader permission,"Keep one typed plain-language review, exact transformed text, centralized mapping, Demo local-only semantics, and separate Repository approvals",privacy and UI owners,"transfer-review tests, screenshots, and audit verification",all TR acceptance gates green,Low on the declared native flow; human study remains active
