component,license,confidence
accelerate,Unknown,Unknown
aiohappyeyeballs,Unknown,Unknown
aiohttp,Unknown,Unknown
aiosignal,Unknown,Unknown
alembic,Unknown,Unknown
annotated-doc,MIT,Confirmed
anyio,MIT,Confirmed
asteroid-filterbanks,Unknown,Unknown
async-timeout,Unknown,Unknown
attrs,Unknown,Unknown
av,BSD-3-Clause,Confirmed
bitsandbytes,Unknown,Unknown
certifi,MPL-2.0,Confirmed
charset-normalizer,MIT,Confirmed
click,BSD-3-Clause,Confirmed
colorama,Unknown,Unknown
colorlog,Unknown,Unknown
contourpy,"BSD 3-Clause License

 Copyright (c) 2021-2025, ContourPy Developers.
 All rights reserved.

 Redistribution and use in source and binary forms, with or without
 modification, are permitted provided t",Confirmed
ctranslate2,MIT,Confirmed
cuda-bindings,LicenseRef-NVIDIA-SOFTWARE-LICENSE,Confirmed
cuda-pathfinder,Apache-2.0,Confirmed
cuda-toolkit,Unknown,Unknown
cycler,"Copyright (c) 2015, matplotlib project
All rights reserved.

Redistribution and use in source and binary forms, with or without
modification, are permitted provided that the following conditions are m",Confirmed
einops,Unknown,Unknown
exceptiongroup,Unknown,Unknown
faster-whisper,MIT,Confirmed
filelock,MIT,Confirmed
flatbuffers,Apache 2.0,Confirmed
fonttools,MIT,Confirmed
frozenlist,Unknown,Unknown
fsspec,BSD-3-Clause,Confirmed
googleapis-common-protos,Unknown,Unknown
greenlet,Unknown,Unknown
grpcio,Unknown,Unknown
h11,MIT,Confirmed
hf-xet,Apache-2.0,Confirmed
httpcore,BSD-3-Clause,Confirmed
httpx,BSD-3-Clause,Confirmed
huggingface-hub,Apache-2.0,Confirmed
idna,BSD-3-Clause,Confirmed
importlib-metadata,Unknown,Unknown
jinja2,Unknown,Unknown
joblib,BSD-3-Clause,Confirmed
julius,Unknown,Unknown
kiwisolver,"=========================
 The Kiwi licensing terms
=========================
Kiwi is licensed under the terms of the Modified BSD License (also known as
New or Revised BSD), as follows:

Copyright (c",Confirmed
lightning,Unknown,Unknown
lightning-utilities,Unknown,Unknown
mako,Unknown,Unknown
markdown-it-py,Unknown,Unknown
markupsafe,BSD-3-Clause,Confirmed
matplotlib,"License agreement for matplotlib versions 1.3.0 and later
 =========================================================

 1. This LICENSE AGREEMENT is between the Matplotlib Development Team
 (""MDT""), an",Confirmed
mdurl,Unknown,Unknown
mpmath,BSD,Confirmed
multidict,Unknown,Unknown
networkx,BSD-3-Clause,Confirmed
noisereduce,MIT,Confirmed
numpy,BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0,Confirmed
nvidia-cublas-cu12,NVIDIA Proprietary Software,Confirmed
