component,license,confidence
accelerate,Apache,Confirmed
aiohappyeyeballs,PSF-2.0,Confirmed
aiohttp,Apache-2.0 AND MIT,Confirmed
aiosignal,Apache 2.0,Confirmed
alembic,MIT,Confirmed
annotated-doc,MIT,Confirmed
anyio,MIT,Confirmed
asteroid-filterbanks,MIT,Confirmed
async-timeout,Unknown,Unknown
attrs,MIT,Confirmed
av,BSD-3-Clause,Confirmed
bitsandbytes,MIT,Confirmed
certifi,MPL-2.0,Confirmed
charset-normalizer,MIT,Confirmed
click,BSD-3-Clause,Confirmed
colorama,Unknown,Unknown
colorlog,MIT License,Confirmed
contourpy,"BSD 3-Clause License

 Copyright (c) 2021-2025, ContourPy Developers.
 All rights reserved.

 Redistribution and use in source and binary forms, with or without
 modification, are permitted provided t",Confirmed
ctranslate2,MIT,Confirmed
cuda-bindings,LicenseRef-NVIDIA-SOFTWARE-LICENSE,Confirmed
cuda-pathfinder,Apache-2.0,Confirmed
cuda-toolkit,Unknown,Unknown
cycler,"Copyright (c) 2015, matplotlib project
All rights reserved.

Redistribution and use in source and binary forms, with or without
modification, are permitted provided that the following conditions are m",Confirmed
einops,MIT,Confirmed
exceptiongroup,Unknown,Unknown
faster-whisper,MIT,Confirmed
filelock,MIT,Confirmed
flatbuffers,Apache 2.0,Confirmed
fonttools,MIT,Confirmed
frozenlist,Apache-2.0,Confirmed
fsspec,BSD-3-Clause,Confirmed
googleapis-common-protos,Apache 2.0,Confirmed
greenlet,MIT AND PSF-2.0,Confirmed
grpcio,Apache-2.0,Confirmed
h11,MIT,Confirmed
hf-xet,Apache-2.0,Confirmed
httpcore,BSD-3-Clause,Confirmed
httpx,BSD-3-Clause,Confirmed
huggingface-hub,Apache-2.0,Confirmed
idna,BSD-3-Clause,Confirmed
importlib-metadata,Apache-2.0,Confirmed
jinja2,Unknown,Unknown
joblib,BSD-3-Clause,Confirmed
julius,MIT License,Confirmed
kiwisolver,"=========================
 The Kiwi licensing terms
=========================
Kiwi is licensed under the terms of the Modified BSD License (also known as
New or Revised BSD), as follows:

Copyright (c",Confirmed
lightning,Apache-2.0,Confirmed
lightning-utilities,Apache-2.0,Confirmed
mako,MIT,Confirmed
markdown-it-py,Unknown,Unknown
markupsafe,BSD-3-Clause,Confirmed
matplotlib,"License agreement for matplotlib versions 1.3.0 and later
 =========================================================

 1. This LICENSE AGREEMENT is between the Matplotlib Development Team
 (""MDT""), an",Confirmed
mdurl,Unknown,Unknown
mpmath,BSD,Confirmed
multidict,Apache License 2.0,Confirmed
networkx,BSD-3-Clause,Confirmed
noisereduce,MIT,Confirmed
numpy,BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0,Confirmed
nvidia-cublas-cu12,NVIDIA Proprietary Software,Confirmed
nvidia-cuda-cupti-cu12,NVIDIA Proprietary Software,Confirmed
nvidia-cuda-nvrtc-cu12,NVIDIA Proprietary Software,Confirmed
nvidia-cuda-runtime-cu12,NVIDIA Proprietary Software,Confirmed
nvidia-cudnn-cu12,LicenseRef-NVIDIA-Proprietary,Confirmed
nvidia-cufft-cu12,NVIDIA Proprietary Software,Confirmed
nvidia-cufile-cu12,NVIDIA Proprietary Software,Confirmed
nvidia-curand-cu12,NVIDIA Proprietary Software,Confirmed
nvidia-cusolver-cu12,NVIDIA Proprietary Software,Confirmed
nvidia-cusparse-cu12,NVIDIA Proprietary Software,Confirmed
nvidia-cusparselt-cu12,NVIDIA Proprietary Software,Confirmed
nvidia-nccl-cu12,LicenseRef-NVIDIA-Proprietary,Confirmed
nvidia-npp-cu12,LicenseRef-NVIDIA-Proprietary,Confirmed
nvidia-nvjitlink-cu12,NVIDIA Proprietary Software,Confirmed
nvidia-nvshmem-cu12,LicenseRef-NVIDIA-Proprietary,Confirmed
nvidia-nvtx-cu12,Apache 2.0,Confirmed
onnxruntime,MIT License,Confirmed
opentelemetry-api,Apache-2.0,Confirmed
opentelemetry-exporter-otlp,Apache-2.0,Confirmed
opentelemetry-exporter-otlp-proto-common,Apache-2.0,Confirmed
opentelemetry-exporter-otlp-proto-grpc,Apache-2.0,Confirmed
opentelemetry-exporter-otlp-proto-http,Apache-2.0,Confirmed
opentelemetry-proto,Apache-2.0,Confirmed
opentelemetry-sdk,Apache-2.0,Confirmed
opentelemetry-semantic-conventions,Apache-2.0,Confirmed
optuna,Unknown,Unknown
packaging,Apache-2.0 OR BSD-2-Clause,Confirmed
pandas,"BSD 3-Clause License

 Copyright (c) 2008-2011, AQR Capital Management, LLC, Lambda Foundry, Inc. and PyData Development Team
 All rights reserved.

 Copyright (c) 2011-2026, Open source contributors.",Confirmed
pillow,MIT-CMU,Confirmed
primepy,UNKNOWN,Confirmed
project-aura-refactor,MIT,Confirmed
propcache,Apache-2.0,Confirmed
protobuf,3-Clause BSD License,Confirmed
psutil,BSD-3-Clause,Confirmed
pyannote-audio,Unknown,Unknown
pyannote-core,Unknown,Unknown
pyannote-database,Unknown,Unknown
pyannote-metrics,Unknown,Unknown
pyannote-pipeline,Unknown,Unknown
pyannoteai-sdk,Unknown,Unknown
pyarrow,Apache-2.0,Confirmed
pyaudio,MIT,Confirmed
pydub,MIT,Confirmed
pygments,BSD-2-Clause,Confirmed
pyparsing,MIT,Confirmed
pyqt6,GPL-3.0-only,Confirmed
pyqt6-qt6,LGPL v3,Confirmed
pyqt6-sip,BSD-2-Clause,Confirmed
pyqtgraph,MIT,Confirmed
python-dateutil,Dual License,Confirmed
pytorch-lightning,Apache-2.0,Confirmed
pytorch-metric-learning,UNKNOWN,Confirmed
pytz,Unknown,Unknown
pyyaml,MIT,Confirmed
qt-material,BSD-2-Clause,Confirmed
rapidfuzz,MIT,Confirmed
regex,Apache-2.0 AND CNRI-Python,Confirmed
requests,Apache-2.0,Confirmed
rich,MIT,Confirmed
safetensors,Unknown,Unknown
scikit-learn,BSD-3-Clause,Confirmed
scipy,"Copyright (c) 2001-2002 Enthought, Inc. 2003, SciPy Developers.
 All rights reserved.

 Redistribution and use in source and binary forms, with or without
 modification, are permitted provided that th",Confirmed
setuptools,Unknown,Unknown
shellingham,ISC License,Confirmed
six,MIT,Confirmed
sortedcontainers,Apache 2.0,Confirmed
sqlalchemy,MIT,Confirmed
sympy,BSD,Confirmed
threadpoolctl,BSD-3-Clause,Confirmed
tokenizers,Unknown,Unknown
tomli,Unknown,Unknown
torch,BSD-3-Clause,Confirmed
torch-audiomentations,MIT,Confirmed
torch-pitch-shift,Unknown,Unknown
torchaudio,Unknown,Unknown
torchcodec,"BSD 3-Clause License

Copyright 2024 Meta

Redistribution and use in source and binary forms, with or without modification,
are permitted provided that the following conditions are met:

1. Redistribu",Confirmed
torchmetrics,Apache-2.0,Confirmed
tqdm,MPL-2.0 AND MIT,Confirmed
transformers,Apache 2.0 License,Confirmed
triton,Unknown,Unknown
typer,MIT,Confirmed
typing-extensions,PSF-2.0,Confirmed
tzdata,Unknown,Unknown
urllib3,MIT,Confirmed
webrtcvad,MIT,Confirmed
yarl,Apache-2.0,Confirmed
zipp,MIT,Confirmed
